Country,Emissions,1 Year Change,Population,Per capita,Share of world,latitude,longitude
Denmark,38007645 tons,5.23%,"57,11,349",6.65,0.11%,56.26392,9.501785
Slovakia,36817242 tons,1.74%,"54,42,003",6.77,0.10%,48.669026,19.699024
Trinidad and Tobago,34974263 tons,-5.92%,"13,77,560",25.39,0.10%,10.691803,-61.222503
Azerbaijan,33614235 tons,-0.41%,"97,36,043",3.45,0.09%,40.143105,47.576927
New Zealand,33276202 tons,-0.14%,"46,59,265",7.14,0.09%,-40.900557,174.885971
Angola,30566933 tons,3.13%,"2,88,42,489",1.06,0.09%,-11.202692,17.873887
Cuba,30389116 tons,1.65%,"1,13,35,104",2.68,0.08%,21.521757,-77.781167
Tunisia,29395965 tons,0.82%,"1,13,03,945",2.6,0.08%,33.886917,9.537499
Bosnia and Herzegovina,25674120 tons,0.86%,"33,86,266",7.58,0.07%,43.915886,17.679076
Yemen,25647990 tons,1.62%,"2,71,68,208",0.94,0.07%,15.552727,48.516388
Bahrain,24458384 tons,2.50%,"14,25,792",17.15,0.07%,25.930414,50.637772
Dominican Republic,23466740 tons,2.88%,"1,03,97,741",2.26,0.07%,18.735693,-70.162651
Jordan,22772370 tons,1.83%,"95,54,286",2.38,0.06%,30.585164,36.238414
Estonia,22402414 tons,1.01%,"13,16,510",17.02,0.06%,58.595272,25.013607
Lebanon,21863288 tons,1.95%,"67,14,281",3.26,0.06%,33.854721,35.862285
Bolivia,19463728 tons,2.03%,"1,10,31,814",1.76,0.05%,-16.290154,-63.588653
Croatia,19408194 tons,3.02%,"42,08,602",4.61,0.05%,45.1,15.2
Mongolia,18574260 tons,18.09%,"30,56,364",6.08,0.05%,46.862496,103.846656
Guatemala,18539316 tons,2.42%,"1,65,83,076",1.12,0.05%,15.783471,-90.230759
Sri Lanka,18454691 tons,8.55%,"2,10,21,171",0.88,0.05%,7.873054,80.771797
Myanmar,16701776 tons,5.61%,"5,30,45,201",0.31,0.05%,21.913965,95.956223
Kenya,16334919 tons,3.60%,"4,90,51,534",0.33,0.05%,-0.023559,37.906193
Montenegro,16249039 tons,2.27%,"6,27,264",25.9,0.05%,42.708678,19.37439
Slovenia,14722601 tons,2.35%,"20,74,210",7.1,0.04%,46.151241,14.995463
Ghana,14469986 tons,3.54%,"2,84,81,945",0.51,0.04%,7.946527,-1.023194
Lithuania,13685264 tons,2.66%,"28,89,557",4.74,0.04%,55.169438,23.881275
Sudan,13294106 tons,4.18%,"3,98,47,439",0.33,0.04%,12.862807,30.217636
Panama,11599764 tons,2.37%,"40,37,078",2.87,0.03%,8.537981,-80.782127
Ethiopia,10438855 tons,4.03%,"10,36,03,462",0.1,0.03%,9.145,40.489673
Luxembourg,10144632 tons,3.45%,"5,79,264",17.51,0.03%,49.815273,6.129583
Zimbabwe,10062628 tons,-4.17%,"1,40,30,331",0.72,0.03%,-19.015438,29.154857
Côte d'Ivoire,10056492 tons,1.16%,"2,38,22,714",0.42,0.03%,7.539989,-5.54708
Afghanistan,9900004 tons,7.13%,"3,53,83,032",0.28,0.03%,33.93911,67.709953
Tanzania,9731560 tons,2.50%,"5,30,49,230",0.18,0.03%,-6.369028,34.888822
Cameroon,9454331 tons,2.21%,"2,39,26,551",0.4,0.03%,7.369722,12.354722
Honduras,9320279 tons,2.25%,"92,70,795",1.01,0.03%,15.199999,-86.241905
Papua New Guinea,9086988 tons,7.09%,"82,71,762",1.1,0.03%,-6.314993,143.95555
Jamaica,8946575 tons,1.82%,"29,06,236",3.08,0.03%,18.109581,-77.297508
North Macedonia,8896732 tons,1.62%,"20,80,743",4.28,0.02%,41.608635,21.745275
