Line;Name;names.bridges;latitude;longitude;bridge_part;material ;condition;year_1;year_2;year_3;year_4;year_5;year_6;year_7;year_8;year_9;year_10;year_11;year_12;year_13;year_14;year_15
260;Du Lyssbach;Du Lyssbach;47.04977327;7.354939054;abutment;masonry;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.36;0.28;0.21;0.16;0.13;
260;Du Lyssbach;Du Lyssbach;47.04977327;7.354939054;abutment;masonry;1.00;0.94;0.88;0.83;0.78;0.73;0.69;0.65;0.61;0.57;0.61;0.63;0.63;0.62;0.59;
260;Du Lyssbach;Du Lyssbach;47.04977327;7.354939054;abutment;masonry;0.00;0.06;0.11;0.15;0.18;0.21;0.23;0.25;0.26;0.27;0.03;0.09;0.14;0.18;0.22;
260;Du Lyssbach;Du Lyssbach;47.04977327;7.354939054;abutment;masonry;0.00;0.00;0.01;0.02;0.03;0.04;0.06;0.07;0.08;0.09;0.00;0.01;0.02;0.03;0.05;
260;Du Lyssbach;Du Lyssbach;47.04977327;7.354939054;abutment;masonry;0.00;0.00;0.00;0.00;0.01;0.01;0.02;0.03;0.05;0.07;0.00;0.00;0.00;0.01;0.01;
260;Jenskanal-Br.;Jenskanal-Br.;47.10711604;7.305983233;abutment;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.87;0.74;0.62;0.53;
260;Jenskanal-Br.;Jenskanal-Br.;47.10711604;7.305983233;abutment;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.11;0.17;0.21;0.25;
260;Jenskanal-Br.;Jenskanal-Br.;47.10711604;7.305983233;abutment;concrete;1.00;0.86;0.75;0.64;0.56;0.48;0.42;0.36;0.31;0.27;0.23;0.00;0.02;0.03;0.04;
260;Jenskanal-Br.;Jenskanal-Br.;47.10711604;7.305983233;abutment;concrete;0.00;0.14;0.24;0.31;0.34;0.36;0.37;0.36;0.35;0.33;0.31;0.00;0.00;0.00;0.01;
260;Jenskanal-Br.;Jenskanal-Br.;47.10711604;7.305983233;abutment;concrete;0.00;0.00;0.02;0.06;0.11;0.17;0.23;0.29;0.35;0.41;0.46;0.00;0.00;0.00;0.00;
260;Jenskanal-Br.;Jenskanal-Br.;47.10711604;7.305983233;bearings;concrete;1.00;0.93;0.86;0.80;0.75;0.69;0.64;0.60;0.56;0.52;0.48;0.45;0.41;0.39;0.36;
260;Jenskanal-Br.;Jenskanal-Br.;47.10711604;7.305983233;bearings;concrete;0.00;0.07;0.13;0.19;0.24;0.28;0.32;0.36;0.39;0.42;0.45;0.47;0.49;0.51;0.53;
260;Jenskanal-Br.;Jenskanal-Br.;47.10711604;7.305983233;bearings;concrete;0.00;0.00;0.01;0.01;0.02;0.02;0.03;0.03;0.04;0.04;0.05;0.05;0.06;0.06;0.07;
260;Jenskanal-Br.;Jenskanal-Br.;47.10711604;7.305983233;bearings;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.03;0.03;
260;Jenskanal-Br.;Jenskanal-Br.;47.10711604;7.305983233;bearings;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.01;0.02;0.02;
260;KDu Loeribach;KDu Loeribach;47.06678961;7.330502375;abutment;masonry;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.29;0.21;0.15;0.11;
260;KDu Loeribach;KDu Loeribach;47.06678961;7.330502375;abutment;masonry;1.00;0.96;0.91;0.87;0.83;0.80;0.76;0.73;0.70;0.67;0.64;0.68;0.73;0.76;0.77;
260;KDu Loeribach;KDu Loeribach;47.06678961;7.330502375;abutment;masonry;0.00;0.04;0.08;0.11;0.14;0.16;0.19;0.20;0.22;0.24;0.25;0.03;0.05;0.08;0.10;
260;KDu Loeribach;KDu Loeribach;47.06678961;7.330502375;abutment;masonry;0.00;0.00;0.01;0.02;0.03;0.04;0.05;0.06;0.07;0.08;0.09;0.00;0.01;0.01;0.02;
260;KDu Loeribach;KDu Loeribach;47.06678961;7.330502375;abutment;masonry;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.01;0.02;0.03;0.00;0.00;0.00;0.00;
260;PDu Horbengasse;PDu Horbengasse;47.04379762;7.376343717;abutment;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.87;0.74;0.62;0.53;
260;PDu Horbengasse;PDu Horbengasse;47.04379762;7.376343717;abutment;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.13;0.25;0.34;0.42;
260;PDu Horbengasse;PDu Horbengasse;47.04379762;7.376343717;abutment;concrete;1.00;0.86;0.75;0.64;0.56;0.48;0.42;0.36;0.31;0.27;0.23;0.00;0.02;0.03;0.04;
260;PDu Horbengasse;PDu Horbengasse;47.04379762;7.376343717;abutment;concrete;0.00;0.14;0.23;0.29;0.33;0.35;0.36;0.35;0.34;0.33;0.31;0.00;0.00;0.00;0.01;
260;PDu Horbengasse;PDu Horbengasse;47.04379762;7.376343717;abutment;concrete;0.00;0.00;0.02;0.06;0.11;0.17;0.23;0.29;0.35;0.41;0.46;0.00;0.00;0.00;0.00;
260;PDu Horbengasse;PDu Horbengasse;47.04379762;7.376343717;bearings;concrete;1.00;0.81;0.66;0.53;0.43;0.35;0.28;0.23;0.19;0.15;0.12;0.10;0.08;0.06;0.05;
260;PDu Horbengasse;PDu Horbengasse;47.04379762;7.376343717;bearings;concrete;0.00;0.19;0.33;0.44;0.51;0.56;0.59;0.61;0.61;0.61;0.60;0.59;0.57;0.55;0.53;
260;PDu Horbengasse;PDu Horbengasse;47.04379762;7.376343717;bearings;concrete;0.00;0.00;0.01;0.03;0.06;0.08;0.11;0.13;0.16;0.18;0.20;0.21;0.23;0.24;0.25;
260;PDu Horbengasse;PDu Horbengasse;47.04379762;7.376343717;bearings;concrete;0.00;0.00;0.00;0.00;0.00;0.01;0.02;0.03;0.04;0.05;0.06;0.07;0.09;0.10;0.11;
260;PDu Horbengasse;PDu Horbengasse;47.04379762;7.376343717;bearings;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.02;0.03;0.04;0.05;0.06;
260;PU Busswil;PU Busswil;47.09840789;7.31874849;abutment;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.36;0.28;0.21;0.16;0.13;
